"gene","log2FC","pval"
"ENSG00000272398",-5.58881325335565,0.3475202328419
"ENSG00000135439",-2.85560754519433,0.309473617790557
"ENSG00000130348",-3.704554040327,0.361669644149962
"ENSG00000198719",-5.9259122934833,0.349156621730991
"ENSG00000169429",-3.24485658015783,0.277327925933751
"ENSG00000171608",-3.09552821584392,0.346861701359269
"ENSG00000164494",-3.62224120336383,0.365208835886416
"ENSG00000198732",-3.98099985055172,0.210575172288911
"ENSG00000130349",-3.21246572098885,0.360454577767219
"ENSG00000173404",-3.01573410453608,0.38030454011612
"ENSG00000142549",-2.89114361451876,0.0535857156383638
"ENSG00000146426",-2.87792902528696,0.376873808409874
"ENSG00000130347",-2.94392082229106,0.369327655786675
"ENSG00000275385",-5.63233877424362,0.380432166203253
"ENSG00000178409",-3.07521832792314,0.318348507671449
"ENSG00000134363",-3.15450169386476,0.144946681217742
"ENSG00000137142",-3.63478918602118,0.201108504153827
"ENSG00000133063",-3.43672187879843,0.39560249089527
"ENSG00000150275",-3.20565751104819,0.245649420986388
"ENSG00000124440",-3.30155094151802,0.174664034910498
"ENSG00000124102",-4.01418741440383,0.234928264163254
"ENSG00000158164",-3.25292242336398,0.256557661024018
"ENSG00000203710",-2.99621173951029,0.39676081390962
"ENSG00000253305",-3.1079307143838,0.386056429683445
"ENSG00000169840",-2.80550254212297,0.219555692359097
"ENSG00000170549",-4.22604403356058,0.251864017612315
"ENSG00000153132",-3.21176327972794,0.137832554272109
"ENSG00000111087",-4.47472693851303,0.363631408636186
"ENSG00000197083",-2.96127052641666,0.181953210761906
"ENSG00000128573",-3.42664168351963,0.236470681630826
"ENSG00000188011",-3.10416415054263,0.267257950755138
"ENSG00000168505",-3.20309186537751,0.140088697842326
"ENSG00000164946",-3.00287790847655,0.204052864908294
"ENSG00000231789",-3.06100107213192,0.368656906813493
"ENSG00000257335",-3.76184026280524,0.271536859621338
"ENSG00000258548",-4.20922262671748,0.206489967468151
"ENSG00000162992",-3.63807383718072,0.234873993443449
"ENSG00000085552",-2.96044755216147,0.179695961101743
"ENSG00000153993",-3.39826178652802,0.210528299867362
"ENSG00000108342",-3.6275229629492,0.322958638915306
"ENSG00000263958",-3.66652785287723,0.281414369087967
"ENSG00000253953",-3.48925130114139,0.379525321280109
"ENSG00000249158",-3.61979248488426,0.321035152029493
"ENSG00000241945",-3.02696704760027,0.0046223706636878
"ENSG00000214456",-3,0.16399070602866
"ENSG00000206557",-2.9877633274811,0.111469400315208
"ENSG00000181374",-2.83339953034199,0.429400158236759
"ENSG00000120057",-5.07250675948519,0.374049512825896
"ENSG00000237125",-3.78616959216698,0.243096916303459
"ENSG00000125813",-3.22517486200777,0.240773827367839
